"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO";"ARQUIVO_FOTO";"B_RUR";"B_EV"
"--";"Maria do Carmo Alves";"DEM";"SE";1023;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1023.jpg";;"--";"--"
"--";"Marinor Brito";"PSOL";"PA";4998;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4998.jpg";;"--";"--"
"--";"Mário Couto";"PSDB";"PA";4539;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4539.jpg";;"--";"--"
"--";"Marisa Serrano";"PSDB";"MS";527;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv527.jpg";;"--";"--"
"--";"Marta Suplicy";"PT";"SP";5000;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5000.jpg";;"--";"--"
"--";"Mozarildo Cavalcanti";"PTB";"RR";952;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv952.jpg";;"--";"--"
"--";"Níura Demarchi";"PSDB";"SC";4961;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4961.jpg";;"--";"--"
"--";"Osvaldo Sobrinho";"PTB";"MT";1210;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1210.jpg";;"--";"--"
"--";"Paulo Bauer";"PSDB";"SC";3741;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3741.jpg";;"--";"--"
"--";"Paulo Davim";"PV";"RN";5020;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5020.jpg";;"--";"--"
"--";"Paulo Paim";"PT";"RS";825;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv825.jpg";;"--";"--"
"--";"Pedro Simon";"PMDB";"RS";68;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv68.jpg";;"--";"--"
"--";"Pedro Taques";"PDT";"MT";5010;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5010.jpg";;"--";"--"
"--";"Raimundo Colombo";"DEM";"SC";1206;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1206.jpg";;"--";"--"
"--";"Randolfe Rodrigues";"PSOL";"AP";5012;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5012.jpg";;"--";"--"
"--";"Reditario Cassol";"PP";"RO";5072;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5072.jpg";;"--";"--"
"--";"Renan Calheiros";"PMDB";"AL";70;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv70.jpg";;"--";"--"
"--";"Renato Casagrande";"PSB";"ES";3868;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv3868.jpg";;"--";"--"
"--";"Ricardo Ferraço";"PMDB";"ES";635;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv635.jpg";;"--";"--"
"--";"Roberto Requião";"PMDB";"PR";72;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv72.jpg";;"--";"--"
"--";"Rodrigo Rollemberg";"PSB";"DF";4593;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4593.jpg";;"--";"--"
"--";"Romero Jucá";"PMDB";"RR";73;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv73.jpg";;"--";"--"
"--";"Rosalba Ciarlini";"DEM";"RN";4543;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4543.jpg";;"--";"--"
"--";"Sérgio Petecão";"PSD";"AC";4560;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4560.jpg";;"--";"--"
"--";"Sérgio Souza";"PMDB";"PR";5048;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5048.jpg";;"--";"--"
"--";"Tião Viana";"PT";"AC";982;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv982.jpg";;"--";"--"
"--";"Valdir Raupp";"PMDB";"RO";3372;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3372.jpg";;"--";"--"
"--";"Vanessa Grazziotin";"PC DO B";"AM";558;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv558.jpg";;"--";"--"
"--";"Vicentinho Alves";"PR";"TO";4763;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4763.jpg";;"--";"--"
"--";"Virginio de Carvalho";"PSC";"SE";4786;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4786.jpg";;"--";"--"
"--";"Vital do Rêgo";"PMDB";"PB";4645;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4645.jpg";;"--";"--"
"--";"Waldemir Moka";"PMDB";"MS";1176;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv1176.jpg";;"--";"--"
"--";"Walter Pinheiro";"PT";"BA";604;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv604.jpg";;"--";"--"
"--";"Wellington Dias";"PT";"PI";5016;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5016.jpg";;"--";"--"
"--";"Wilson Matos";"PSDB";"PR";4772;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4772.jpg";;"--";"--"
"--";"Wilson Santiago";"PMDB";"PB";3811;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3811.jpg";;"--";"--"
"--";"Zeze Perrella";"PDT";"MG";5144;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5144.jpg";;"--";"--"
