"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"CARLOS MELLES";"MELLES";"carlos melles";"carlos melles";"CARLOS MELLES";"DEM";"MG";985;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189310"
"CARLOS ROBERTO";"ROBERTO";"carlos roberto";"carlos roberto";"CARLOS ROBERTO";"PSDB";"SP";2435;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189311"
"CARLOS SAMPAIO";"SAMPAIO";"carlos sampaio";"carlos sampaio";"CARLOS SAMPAIO";"PSDB";"SP";1552;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189312"
"CARLOS SANTANA";"SANTANA";"carlos santana";"carlos santana";"CARLOS SANTANA";"PT";"RJ";728;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189313"
"CARLOS SOUZA";"SOUZA";"carlos souza";"carlos souza";"CARLOS SOUZA";"PSD";"AM";1553;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189314"
"CARLOS WILLIAN";"WILLIAN";"carlos willian";"carlos willian";"CARLOS WILLIAN";"PTC";"MG";1554;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189315"
"CARLOS WILSON";"WILSON";"carlos wilson";"carlos wilson";"CARLOS WILSON";"PT";"PE";1964;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189316"
"CARLOS ZARATTINI";"ZARATTINI";"carlos zarattini";"carlos zarattini";"CARLOS ZARATTINI";"PT";"SP";1963;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189317"
"CARMEN ZANOTTO";"ZANOTTO";"carmen zanotto";"carmen zanotto";"CARMEN ZANOTTO";"PPS";"SC";2433;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189318"
"CASSIO TANIGUCHI";"TANIGUCHI";"cassio taniguchi";"cassio taniguchi";"CASSIO TANIGUCHI";"DEM";"PR";1797;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189319"
"CELCITA PINHEIRO";"PINHEIRO";"celcita pinheiro";"celcita pinheiro";"CELCITA PINHEIRO";"DEM";"MT";1417;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189320"
"CELIA ROCHA";"ROCHA";"celia rocha";"celia rocha";"CELIA ROCHA";"PTB";"AL";2319;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189321"
"CELSO MALDANER";"MALDANER";"celso maldaner";"celso maldaner";"CELSO MALDANER";"PMDB";"SC";1798;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189322"
"CELSO RUSSOMANNO";"RUSSOMANNO";"celso russomanno";"celso russomanno";"CELSO RUSSOMANNO";"PP";"SP";993;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189323"
"CESAR COLNAGO";"COLNAGO";"cesar colnago";"cesar colnago";"CESAR COLNAGO";"PSDB";"ES";2337;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189324"
"CÉSAR HALUM";"HALUM";"césar halum";"cesar halum";"CESAR HALUM";"PSD";"TO";2336;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189325"
"CEZAR SCHIRMER";"SCHIRMER";"cezar schirmer";"cezar schirmer";"CEZAR SCHIRMER";"PMDB";"RS";1452;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189326"
"CEZAR SILVESTRI";"SILVESTRI";"cezar silvestri";"cezar silvestri";"CEZAR SILVESTRI";"PPS";"PR";1556;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189327"
"CHARLES COZZOLINO";"COZZOLINO";"charles cozzolino";"charles cozzolino";"CHARLES COZZOLINO";"PTB";"RJ";2013;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189328"
"CHARLES LUCENA";"LUCENA";"charles lucena";"charles lucena";"CHARLES LUCENA";"PTB";"PE";1769;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189329"
"CHICO ABREU";"ABREU";"chico abreu";"chico abreu";"CHICO ABREU";"PR";"GO";1978;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189330"
"CHICO ALENCAR";"ALENCAR";"chico alencar";"chico alencar";"CHICO ALENCAR";"PSOL";"RJ";1557;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189331"
"CHICO D'ANGELO";"D'ANGELO";"chico d'angelo";"chico dangelo";"CHICO DANGELO";"PT";"RJ";1799;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189332"
"CHICO DA PRINCESA";"PRINCESA";"chico da princesa";"chico da princesa";"CHICO DA PRINCESA";"PR";"PR";1208;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189333"
"CHICO DALTRO";"DALTRO";"chico daltro";"chico daltro";"CHICO DALTRO";"PP";"MT";2014;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189334"
"CHICO DAS VERDURAS";"VERDURAS";"chico das verduras";"chico das verduras";"CHICO DAS VERDURAS";"PRP";"RR";2259;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189335"
"CHICO LOPES";"LOPES";"chico lopes";"chico lopes";"CHICO LOPES";"PCdoB";"CE";1800;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189336"
"CHICO NETO";"NETO";"chico neto";"chico neto";"CHICO NETO";"PSDB";"PA";2028;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189337"
"CIDA BORGHETTI";"BORGHETTI";"cida borghetti";"cida borghetti";"CIDA BORGHETTI";"PP";"PR";2237;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189338"
"CIDA DIOGO";"DIOGO";"cida diogo";"cida diogo";"CIDA DIOGO";"PT";"RJ";1801;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189339"
"CIRO GOMES";"GOMES";"ciro gomes";"ciro gomes";"CIRO GOMES";"PSB";"CE";1802;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189340"
"CIRO NOGUEIRA";"NOGUEIRA";"ciro nogueira";"ciro nogueira";"CIRO NOGUEIRA";"PP";"PI";1201;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189341"
"CIRO PEDROSA";"PEDROSA";"ciro pedrosa";"ciro pedrosa";"CIRO PEDROSA";"PV";"MG";1803;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189342"
"CLAUDIO CAJADO";"CAJADO";"claudio cajado";"claudio cajado";"CLAUDIO CAJADO";"DEM";"BA";995;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189343"
"CLÁUDIO DIAZ";"DIAZ";"cláudio diaz";"claudio diaz";"CLAUDIO DIAZ";"PSDB";"RS";1765;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189344"
"CLÁUDIO MAGRÃO";"MAGRÃO";"cláudio magrão";"claudio magrao";"CLAUDIO MAGRAO";"PPS";"SP";1558;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189345"
"CLÁUDIO PUTY";"PUTY";"cláudio puty";"claudio puty";"CLAUDIO PUTY";"PT";"PA";2313;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189346"
"CLEBER VERDE";"VERDE";"cleber verde";"cleber verde";"CLEBER VERDE";"PRB";"MA";1804;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189347"
"CLODOVIL HERNANDES";"HERNANDES";"clodovil hernandes";"clodovil hernandes";"CLODOVIL HERNANDES";"PR";"SP";1805;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189348"
"CLÓVIS FECURY";"FECURY";"clóvis fecury";"clovis fecury";"CLOVIS FECURY";"DEM";"MA";1559;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189349"
"COLBERT MARTINS";"MARTINS";"colbert martins";"colbert martins";"COLBERT MARTINS";"PMDB";"BA";1241;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189350"
"COSTA FERREIRA";"FERREIRA";"costa ferreira";"costa ferreira";"COSTA FERREIRA";"PSC";"MA";59;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189351"
"CRISTIANO";;"cristiano";"cristiano";"CRISTIANO";"PTdoB";"RJ";2394;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189352"
"CRISTIANO MATHEUS";"MATHEUS";"cristiano matheus";"cristiano matheus";"CRISTIANO MATHEUS";"PMDB";"AL";1806;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189353"
"CUSTÓDIO MATTOS";"MATTOS";"custódio mattos";"custodio mattos";"CUSTODIO MATTOS";"PSDB";"MG";1351;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189354"
"DAGOBERTO";;"dagoberto";"dagoberto";"DAGOBERTO";"PDT";"MS";1807;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189355"
"DALVA FIGUEIREDO";"FIGUEIREDO";"dalva figueiredo";"dalva figueiredo";"DALVA FIGUEIREDO";"PT";"AP";1808;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189356"
"DAMIÃO FELICIANO";"FELICIANO";"damião feliciano";"damiao feliciano";"DAMIAO FELICIANO";"PDT";"PB";1318;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189357"
"DANIEL ALMEIDA";"ALMEIDA";"daniel almeida";"daniel almeida";"DANIEL ALMEIDA";"PCdoB";"BA";1562;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189358"
