"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"KEIKO OTA";"OTA";"keiko ota";"keiko ota";"KEIKO OTA";"PSB";"SP";2261;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189168"
"LAEL VARELLA";"VARELLA";"lael varella";"lael varella";"LAEL VARELLA";"DEM";"MG";257;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97847"
"LAERCIO OLIVEIRA";"OLIVEIRA";"laercio oliveira";"laercio oliveira";"LAERCIO OLIVEIRA";"PR";"SE";1991;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=181053"
"LAUREZ MOREIRA";"MOREIRA";"laurez moreira";"laurez moreira";"LAUREZ MOREIRA";"PSB";"TO";1868;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=162142"
"LAURIETE";;"lauriete";"lauriete";"LAURIETE";"PSC";"ES";2355;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189069"
"LÁZARO BOTELHO";"BOTELHO";"lázaro botelho";"lazaro botelho";"LAZARO BOTELHO";"PP";"TO";1869;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=160353"
"LEANDRO VILELA";"VILELA";"leandro vilela";"leandro vilela";"LEANDRO VILELA";"PMDB";"GO";1579;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=107576"
"LELO COIMBRA";"COIMBRA";"lelo coimbra";"lelo coimbra";"LELO COIMBRA";"PMDB";"ES";1871;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=160660"
"LEONARDO GADELHA";"GADELHA";"leonardo gadelha";"leonardo gadelha";"LEONARDO GADELHA";"PSC";"PB";2476;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=193613"
"LEONARDO MONTEIRO";"MONTEIRO";"leonardo monteiro";"leonardo monteiro";"LEONARDO MONTEIRO";"PT";"MG";1582;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=107537"
